tree_id,block_id,tree_dbh,health,spc_common,problems,address,postcode,borough,nta_name,month
186346,505759,2,Good,American larch,None,2535 CAMBRELENG AVENUE,10458,Bronx,Belmont,8
186347,505759,2,Good,American larch,None,2541 CAMBRELENG AVENUE,10458,Bronx,Belmont,8
213889,411714,12,Good,American larch,Stones,1276 DRUMGOOLE ROAD WEST,10312,Staten Island,Arden Heights,9
272163,343829,9,Good,American larch,None,41-002 103 STREET,11368,Queens,North Corona,9
297096,107464,7,Fair,American larch,None,134 EAST 70 STREET,10021,Manhattan,Upper East Side-Carnegie Hill,10
283420,404766,22,Good,American larch,None,68 HARTFORD AVENUE,10310,Staten Island,New Brighton-Silver Lake,10
281813,109091,4,Fair,American larch,None,139 WEST 116 STREET,10026,Manhattan,Central Harlem South,10
296160,107849,4,Poor,American larch,None,40 EAST 80 STREET,10075,Manhattan,Upper East Side-Carnegie Hill,10
315049,223670,4,Good,American larch,BranchOther,126 STERLING PLACE,11217,Brooklyn,Park Slope-Gowanus,10
358482,400505,5,Good,American larch,None,359 BRYSON AVENUE,10314,Staten Island,Westerleigh,10
385237,410676,4,Good,American larch,None,2750 VETERANS ROAD WEST,10309,Staten Island,Charleston-Richmond Valley-Tottenville,10
377896,346501,8,Good,American larch,None,63-060 79 STREET,11379,Queens,Middle Village,10
385264,410676,4,Good,American larch,None,2750 VETERANS ROAD WEST,10309,Staten Island,Charleston-Richmond Valley-Tottenville,10
416122,210425,18,Good,American larch,None,1717 EAST 26 STREET,11229,Brooklyn,Madison,11
426274,501330,6,Good,American larch,None,621 BARRETTO STREET,10474,Bronx,Hunts Point,11
440272,409857,16,Good,American larch,Stones,602 YETMAN AVENUE,10307,Staten Island,Charleston-Richmond Valley-Tottenville,11
431132,505030,3,Good,American larch,BranchOther,761 EAST 178 STREET,10460,Bronx,East Tremont,11
462809,403276,3,Good,American larch,None,14 MACORMAC PLACE,10303,Staten Island,Mariner's Harbor-Arlington-Port Ivory-Graniteville,11
483046,507251,13,Good,American larch,None,5235 FIELDSTON ROAD,10471,Bronx,North Riverdale-Fieldston-Riverdale,11
515113,506727,2,Good,American larch,None,2762 CLAFLIN AVENUE,10468,Bronx,Van Cortlandt Village,12
554338,322795,18,Fair,American larch,RootOther,41-069 WESTMORELAND STREET,11363,Queens,Douglas Manor-Douglaston-Little Neck,4
554357,322735,18,Good,American larch,None,43-004 WESTMORELAND STREET,11363,Queens,Douglas Manor-Douglaston-Little Neck,4
554356,322735,19,Good,American larch,None,43-004 WESTMORELAND STREET,11363,Queens,Douglas Manor-Douglaston-Little Neck,4
556497,322721,4,Good,American larch,None,248-008 41 AVENUE,11363,Queens,Douglas Manor-Douglaston-Little Neck,5
554931,416233,13,Good,American larch,BranchLights,69 LONGFELLOW AVENUE,10301,Staten Island,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,4
554926,416233,8,Good,American larch,"Stones,BranchLights",37 LONGFELLOW AVENUE,10301,Staten Island,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,4
554084,509520,6,Good,American larch,None,555 CALHOUN AVENUE,10465,Bronx,Schuylerville-Throgs Neck-Edgewater Park,4
612122,347668,9,Fair,American larch,BranchLights,63-034 84 PLACE,11379,Queens,Middle Village,7
689805,214930,4,Good,American larch,None,658 EAST 88 STREET,11236,Brooklyn,Canarsie,8
690034,214612,5,Good,American larch,None,722 EAST 85 STREET,11236,Brooklyn,Canarsie,8
706815,209733,13,Good,American larch,None,2112 EAST 5 STREET,11223,Brooklyn,Homecrest,9
8374,508769,14,Good,American larch,None,1553 UNIONPORT ROAD,10462,Bronx,Parkchester,6
25135,207672,3,Good,American larch,None,2262 STILLWELL AVENUE,11214,Brooklyn,Gravesend,6
33631,506903,3,Good,American larch,None,2601 HENRY HUDSON PARKWAY WEST,10463,Bronx,Spuyten Duyvil-Kingsbridge,6
104178,107282,13,Fair,American larch,None,323 EAST 65 STREET,10065,Manhattan,Lenox Hill-Roosevelt Island,7
113384,109250,17,Good,American larch,None,365 WEST 120 STREET,10027,Manhattan,Central Harlem South,8
113409,109252,7,Good,American larch,None,364 WEST 121 STREET,10027,Manhattan,Central Harlem South,8
135344,108424,3,Good,American larch,None,101 MORNINGSIDE AVENUE,10027,Manhattan,Morningside Heights,8
130609,300821,7,Good,American larch,RootOther,30-059 43 STREET,11103,Queens,Astoria,8
139700,217886,9,Good,American larch,None,205 SOUTH 1 STREET,11211,Brooklyn,North Side-South Side,8
130541,300857,4,Good,American larch,None,41-017 31 AVENUE,11103,Queens,Astoria,8
151140,230729,13,Good,American larch,None,132 ARGYLE ROAD,11218,Brooklyn,Flatbush,8
167892,300479,7,Good,American larch,RootOther,47-011 NEWTOWN ROAD,11103,Queens,Astoria,8
185464,505125,12,Fair,American larch,None,1973 ARTHUR AVENUE,10457,Bronx,East Tremont,8
185463,505125,15,Fair,American larch,None,590 EAST 178 STREET,10457,Bronx,East Tremont,8
185462,505125,13,Fair,American larch,None,582 EAST 178 STREET,10457,Bronx,East Tremont,8
203580,348022,22,Good,boxelder,"TrunkOther,BranchLights",89-011 69 AVENUE,11375,Queens,Forest Hills,9
195805,105937,5,Poor,boxelder,"Stones,BranchOther",1076 1 AVENUE,10022,Manhattan,Turtle Bay-East Midtown,9
195803,105937,5,Fair,boxelder,None,1076 1 AVENUE,10022,Manhattan,Turtle Bay-East Midtown,9
230985,415469,5,Good,boxelder,None,497 DOANE AVENUE,10308,Staten Island,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,9
201793,406155,10,Good,boxelder,BranchLights,32 OTIS AVENUE,10306,Staten Island,New Dorp-Midland Beach,9
245708,414861,22,Good,boxelder,None,330 MILES AVENUE,10308,Staten Island,Great Kills,9
