id,tree_dbh,health,tree_dbh,spc_common,problems,nta_name
356,5,Poor,5,crab apple,"Stones,WiresRope",Upper East Side-Carnegie Hill
357,6,Good,6,Callery pear,Stones,Upper East Side-Carnegie Hill
358,10,Good,10,Callery pear,"Stones,RootOther,BranchOther",Upper East Side-Carnegie Hill
359,10,Good,10,Callery pear,"Stones,RootOther,BranchOther",Upper East Side-Carnegie Hill
396,11,Fair,11,Callery pear,Stones,Upper East Side-Carnegie Hill
419,7,Good,7,honeylocust,BranchLights,Upper East Side-Carnegie Hill
420,7,Fair,7,littleleaf linden,"MetalGrates,TrunkOther,BranchLights",Upper East Side-Carnegie Hill
421,7,Fair,7,Callery pear,"Stones,TrunkOther",Upper East Side-Carnegie Hill
424,5,Good,5,Callery pear,"RootOther,TrunkLights,BranchLights",Upper East Side-Carnegie Hill
425,10,Fair,10,Callery pear,"RootOther,TrunkLights,BranchLights",Upper East Side-Carnegie Hill
426,14,Fair,14,Callery pear,"RootOther,TrunkLights,BranchLights",Upper East Side-Carnegie Hill
431,11,Good,11,Callery pear,Stones,Upper East Side-Carnegie Hill
446,11,Good,11,ginkgo,RootOther,Upper East Side-Carnegie Hill
447,9,Good,9,ginkgo,RootOther,Upper East Side-Carnegie Hill
448,11,Good,11,ginkgo,RootOther,Upper East Side-Carnegie Hill
449,12,Good,12,ginkgo,"RootOther,BranchLights",Upper East Side-Carnegie Hill
450,13,Fair,13,honeylocust,"RootOther,BranchOther",Upper East Side-Carnegie Hill
452,11,Fair,11,green ash,MetalGrates,Upper East Side-Carnegie Hill
455,5,Fair,5,Callery pear,BranchLights,Upper East Side-Carnegie Hill
770,6,Good,6,pin oak,Stones,Clinton
771,6,Good,6,pin oak,Stones,Clinton
772,6,Good,6,pin oak,Stones,Clinton
773,6,Good,6,pin oak,Stones,Clinton
797,26,Good,26,London planetree,BranchOther,Clinton
801,4,Fair,4,ginkgo,TrunkOther,Clinton
802,20,Good,20,London planetree,BranchOther,Clinton
803,5,Poor,5,ginkgo,TrunkOther,Clinton
805,20,Good,20,London planetree,"TrunkOther,BranchOther",Clinton
806,11,Good,11,honeylocust,Stones,Clinton
830,4,Good,4,swamp white oak,BranchOther,Clinton
832,5,Fair,5,swamp white oak,BranchOther,Clinton
833,4,Poor,4,Callery pear,BranchOther,Lincoln Square
834,4,Fair,4,Callery pear,"TrunkOther,BranchOther",Lincoln Square
835,4,Good,4,Callery pear,TrunkOther,Lincoln Square
836,8,Good,8,ginkgo,TrunkOther,Lincoln Square
837,4,Good,4,Callery pear,TrunkOther,Lincoln Square
838,4,Fair,4,Callery pear,"WiresRope,TrunkOther,BranchOther",Lincoln Square
839,7,Good,7,ginkgo,"TrunkOther,BranchOther",Lincoln Square
840,6,Good,6,ginkgo,TrunkOther,Lincoln Square
841,10,Good,10,ginkgo,TrunkOther,Lincoln Square
842,8,Good,8,ginkgo,TrunkOther,Lincoln Square
843,11,Good,11,ginkgo,TrunkOther,Lincoln Square
845,9,Good,9,ginkgo,TrunkOther,Lincoln Square
846,8,Good,8,ginkgo,TrunkOther,Lincoln Square
848,3,Poor,3,ginkgo,"TrunkOther,BranchOther",Lincoln Square
876,11,Fair,11,pin oak,Stones,Clinton
877,4,Fair,4,honeylocust,RootOther,Clinton
878,4,Fair,4,honeylocust,RootOther,Clinton
879,3,Fair,3,swamp white oak,BranchOther,Clinton
880,13,Fair,13,white pine,Stones,Clinton
884,3,Poor,3,Norway maple,TrunkOther,Clinton
891,9,Fair,9,Callery pear,BranchOther,Lincoln Square
892,9,Fair,9,Callery pear,BranchOther,Lincoln Square
893,9,Fair,9,Callery pear,BranchOther,Lincoln Square
903,9,Good,9,pin oak,MetalGrates,Clinton
904,9,Good,9,Norway maple,MetalGrates,Clinton
905,7,Good,7,pin oak,MetalGrates,Clinton
906,9,Good,9,pin oak,MetalGrates,Clinton
907,3,Good,3,black oak,MetalGrates,Clinton
908,14,Good,14,pin oak,MetalGrates,Clinton
909,13,Good,13,pin oak,MetalGrates,Clinton
910,15,Good,15,pin oak,MetalGrates,Clinton
911,16,Good,16,black oak,MetalGrates,Clinton
915,8,Good,8,ginkgo,TrunkOther,Lincoln Square
916,3,Fair,3,ginkgo,TrunkOther,Lincoln Square
919,11,Good,11,ginkgo,TrunkOther,Lincoln Square
920,9,Good,9,ginkgo,TrunkOther,Lincoln Square
921,10,Good,10,ginkgo,"Stones,TrunkOther",Lincoln Square
932,10,Good,10,Callery pear,BranchOther,Lincoln Square
933,10,Good,10,Callery pear,BranchOther,Lincoln Square
934,12,Good,12,Callery pear,BranchOther,Lincoln Square
935,9,Good,9,Callery pear,BranchOther,Lincoln Square
936,9,Good,9,Callery pear,BranchOther,Lincoln Square
937,13,Good,13,Callery pear,BranchOther,Lincoln Square
973,13,Good,13,pin oak,MetalGrates,Clinton
974,7,Good,7,pin oak,MetalGrates,Clinton
975,7,Good,7,pin oak,MetalGrates,Clinton
976,12,Good,12,pin oak,MetalGrates,Clinton
977,13,Good,13,pin oak,MetalGrates,Clinton
978,3,Good,3,pin oak,MetalGrates,Clinton
1016,9,Good,9,honeylocust,TrunkLights,Clinton
1017,17,Good,17,pin oak,MetalGrates,Clinton
1018,13,Good,13,pin oak,MetalGrates,Clinton
1019,3,Good,3,pin oak,MetalGrates,Clinton
1020,13,Good,13,pin oak,MetalGrates,Clinton
2551,25,Good,25,pin oak,Stones,Upper West Side
2553,34,Good,34,pin oak,Stones,Upper West Side
2555,29,Good,29,pin oak,Stones,Upper West Side
2557,29,Good,29,pin oak,Stones,Upper West Side
2560,34,Good,34,pin oak,Stones,Upper West Side
2561,27,Good,27,pin oak,Stones,Upper West Side
2563,26,Good,26,pin oak,Stones,Upper West Side
2564,28,Good,28,pin oak,Stones,Upper West Side
2566,27,Good,27,pin oak,TrunkOther,Upper West Side
2702,3,Fair,3,pin oak,TrunkOther,Upper West Side
2704,12,Good,12,littleleaf linden,BranchOther,Upper West Side
2711,14,Good,14,littleleaf linden,Stones,Upper West Side
2712,6,Good,6,Callery pear,Stones,Upper West Side
2714,7,Good,7,littleleaf linden,Stones,Upper West Side
2715,12,Good,12,littleleaf linden,RootOther,Upper West Side
2716,8,Good,8,littleleaf linden,Stones,Upper West Side
2717,13,Good,13,littleleaf linden,RootOther,Upper West Side
2754,4,Fair,4,honeylocust,"Stones,TrunkOther,BranchOther",Washington Heights North
2755,14,Fair,14,honeylocust,"Stones,BranchOther",Washington Heights North
2756,3,Fair,3,honeylocust,"Stones,BranchOther",Washington Heights North
2757,12,Fair,12,honeylocust,"Stones,BranchOther",Washington Heights North
2759,4,Good,4,pin oak,WiresRope,Washington Heights North
2760,4,Good,4,pin oak,"WiresRope,TrunkOther",Washington Heights North
2761,4,Good,4,pin oak,TrunkOther,Washington Heights North
2762,3,Fair,3,pin oak,RootOther,Washington Heights North
2763,3,Good,3,pin oak,TrunkOther,Washington Heights North
2764,3,Poor,3,pin oak,TrunkOther,Washington Heights North
3146,2,Good,2,Japanese zelkova,Stones,Washington Heights North
3147,9,Good,9,honeylocust,Stones,Washington Heights North
3148,6,Good,6,honeylocust,"Stones,RootOther",Washington Heights North
3174,13,Good,13,pin oak,RootOther,Washington Heights North
3175,18,Good,18,pin oak,RootOther,Washington Heights North
3176,15,Good,15,pin oak,RootOther,Washington Heights North
3177,13,Good,13,pin oak,RootOther,Washington Heights North
3178,17,Fair,17,pin oak,RootOther,Washington Heights North
3179,14,Good,14,pin oak,RootOther,Washington Heights North
3180,13,Good,13,pin oak,RootOther,Washington Heights North
3299,5,Good,5,katsura tree,"Stones,TrunkOther",Washington Heights North
3300,5,Fair,5,honeylocust,TrunkOther,Washington Heights North
3303,10,Good,10,honeylocust,"RootOther,BranchOther",Washington Heights North
3304,1,Good,1,ginkgo,RootOther,Washington Heights North
3782,5,Fair,5,honeylocust,"TrunkOther,BranchOther",Washington Heights North
3783,5,Fair,5,honeylocust,"TrunkOther,BranchOther",Washington Heights North
3784,8,Fair,8,honeylocust,"TrunkOther,BranchOther",Washington Heights North
3786,4,Fair,4,London planetree,"TrunkOther,BranchOther",Washington Heights North
3787,4,Fair,4,London planetree,"TrunkOther,BranchOther",Washington Heights North
3788,4,Good,4,London planetree,TrunkOther,Washington Heights North
3789,22,Good,22,cherry,"TrunkOther,BranchOther",Washington Heights North
3790,10,Good,10,pin oak,"TrunkOther,BranchOther",Washington Heights North
3791,3,Good,3,swamp white oak,"TrunkOther,BranchOther",Washington Heights North
3800,13,Good,13,honeylocust,BranchOther,Washington Heights North
3801,15,Fair,15,honeylocust,BranchOther,Washington Heights North
3802,14,Fair,14,honeylocust,"TrunkOther,BranchOther",Washington Heights North
3813,3,Good,3,swamp white oak,RootOther,Washington Heights North
3818,4,Good,4,Japanese zelkova,TrunkOther,Washington Heights North
3820,5,Good,5,Japanese zelkova,Stones,Washington Heights North
3821,5,Good,5,pin oak,Stones,Washington Heights North
3822,7,Good,7,littleleaf linden,Stones,Washington Heights North
3847,3,Good,3,honeylocust,Stones,Washington Heights North
3848,8,Good,8,honeylocust,"Stones,WiresRope",Washington Heights North
3849,11,Good,11,honeylocust,Stones,Washington Heights North
3850,12,Good,12,honeylocust,Stones,Washington Heights North
